"Week", "Week Ending", "State", "Season", "Total", "Lab", "Visits", "Hospitalizations"
 6,"February 13, 2016",NM,season,N/A,50 (9%) out of 552,455,N/A
 7,"February 20, 2016",NM,season,N/A,71,495,N/A
 8,"February 27, 2016",NM,season,N/A,100,583,N/A
 9,"March 5, 2016",NM,season,N/A,136 (19%) out of 713,683,N/A
 10,"March 12, 2016",NM,season,N/A,210,637,N/A
 11,"March 19, 2016",NM,season,N/A,249,636,N/A
 12,"March 26, 2016",NM,season,N/A,341,512,N/A
 13,"April 2, 2016",NM,season,N/A,413,423,N/A
 14,"April 9, 2016",NM,season,N/A,163,301,N/A
 15,"April 16, 2016",NM,season,N/A,468,231,N/A
 16,"April 23, 2016",NM,season,N/A,498,26,N/A
 17,"April 30, 2016",NM,season,N/A,508,187,N/A
 18,"May 7, 2016",NM,season,N/A,520,155,N/A
 19,"May 14, 2016",NM,season,N/A,524,174,N/A
 20,"May 21, 2016",NM,season,N/A,524,146,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
could not retrieve,could not retrieve,NM,season,N/A,could not retrieve,could not retrieve,N/A
